[2026-02-20 00:03:44.628] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : combinaisons.png (1325 bytes)
[2026-02-20 00:03:44.722] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Definir Charges
[2026-02-20 00:03:45.331] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : charges_def.png (834 bytes)
[2026-02-20 00:03:45.418] [INFO    ] [ui.ribbon_builder   ]       Charges Permanentes : script ecrit (v1)
[2026-02-20 00:03:46.064] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : charges_g.png (1079 bytes)
[2026-02-20 00:03:46.144] [INFO    ] [ui.ribbon_builder   ]       Charges Exploitation : script ecrit (v1)
[2026-02-20 00:03:46.753] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : charges_q.png (1084 bytes)
[2026-02-20 00:03:46.827] [INFO    ] [ui.ribbon_builder   ]       Charges Climatiques : script ecrit (v1)
[2026-02-20 00:03:47.487] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : charges_climat.png (1127 bytes)
[2026-02-20 00:03:47.564] [INFO    ] [ui.ribbon_builder   ]       Visualiser Charges : script ecrit (v1)
[2026-02-20 00:03:48.216] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : visualize.png (1733 bytes)
[2026-02-20 00:03:48.312] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 04_Structure Principale.panel
[2026-02-20 00:03:49.020] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : structure.png (1980 bytes)
[2026-02-20 00:03:49.116] [INFO    ] [ui.ribbon_builder   ]       Creer Escaliers Rampes : script ecrit (v6)
[2026-02-20 00:03:49.993] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : escaliers.png (841 bytes)
[2026-02-20 00:03:50.067] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Fondations
[2026-02-20 00:03:50.661] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : fondations.png (1351 bytes)
[2026-02-20 00:03:50.757] [INFO    ] [ui.ribbon_builder   ]       Semelles Isolees : script ecrit (v2)
[2026-02-20 00:03:51.409] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : semelles_iso.png (801 bytes)
[2026-02-20 00:03:51.522] [INFO    ] [ui.ribbon_builder   ]       Semelles Filantes : script ecrit (v4)
[2026-02-20 00:03:52.246] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : semelles_fil.png (775 bytes)
[2026-02-20 00:03:52.331] [INFO    ] [ui.ribbon_builder   ]       Radier : script ecrit (v1)
[2026-02-20 00:03:52.966] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : radier.png (600 bytes)
[2026-02-20 00:03:53.060] [INFO    ] [ui.ribbon_builder   ]       Longrines : script ecrit (v1)
[2026-02-20 00:03:53.713] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : longrines.png (979 bytes)
[2026-02-20 00:03:53.719] [WARN    ] [ui.ribbon_builder   ]     Stack 'Poteaux Poutres Voiles Dalles' a 4 items -> division automatique en stacks de 3
[2026-02-20 00:03:53.733] [INFO    ] [ui.ribbon_builder   ]     STACK cree : Poteaux Poutres Voiles Dalles 1 (3/4 items)
[2026-02-20 00:03:54.566] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : structure.png (1409 bytes)
[2026-02-20 00:03:54.577] [INFO    ] [ui.ribbon_builder   ]     SPLITBUTTON cree : Creer Poteaux
